WAVE,OPID,P011505,P011510,P011518,P011508,P99AG,P99ED01,P04ML01,JOBSAL
조사회차,패널ID,15세 아버지 직업,아버지 최종학력,15세 가정 형편,15세 부모님 관계,연령,학력,결혼경험,월 급여
6,209201,7,2,3,3,52,3,1,90
7,209201,7,2,3,3,54,3,1,100
3,209302,4,2,4,4,38,8,1,100
4,209302,4,2,4,4,40,8,1,60
1,209602,6,3,3,2,43,4,1,400
1,209603,12,0,3,6,22,6,2,130
5,209902,11,2,4,3,52,6,1,150
6,209902,11,2,4,3,54,6,1,200
7,209902,11,2,4,3,56,6,1,200
4,210002,5,4,3,2,52,5,1,70
5,210002,5,4,3,2,54,5,1,45
1,210102,6,4,4,4,35,7,1,250
2,210102,6,4,4,4,36,7,1,200
4,210202,6,3,4,2,46,6,1,25
5,210202,6,3,4,2,48,6,1,30
1,210302,3,2,3,2,36,6,1,40
5,210302,3,2,3,2,43,6,1,120
6,210302,3,2,3,2,45,6,1,200
7,210302,3,2,3,2,47,6,1,150
2,210402,2,4,2,2,28,7,1,350
3,210402,2,4,2,2,30,7,1,70
4,210402,2,4,2,2,32,7,1,300
5,210402,2,4,2,2,34,7,1,500
6,210402,2,4,2,2,36,7,1,200
7,210402,2,4,2,2,38,7,1,600
6,210503,2,4,3,2,26,7,2,200
1,210601,3,4,2,2,23,7,2,150
1,211002,12,0,4,6,48,2,1,70
2,211002,12,0,4,6,49,2,1,90
3,211002,12,0,4,6,51,2,1,100
4,211002,12,0,4,6,53,2,1,130
7,211002,12,0,4,6,59,2,1,140
2,211003,9,3,4,2,26,7,2,70
3,211004,9,3,4,2,26,6,2,100
2,211203,3,4,3,3,36,4,2,100
2,211205,7,4,3,2,32,4,1,200
1,211402,9,1,3,2,60,3,1,70
2,211402,9,1,3,2,61,3,1,80
1,211502,5,3,2,2,30,6,1,100
2,211502,5,3,2,2,31,6,1,100
1,211601,2,6,3,2,26,7,1,200
2,211601,2,6,3,2,27,8,1,200
3,211802,12,0,5,6,29,4,1,45
5,211902,3,6,3,3,36,7,1,150
6,211902,3,6,3,3,38,7,1,170
7,211902,3,6,3,3,40,7,1,160
1,212002,2,7,2,2,30,7,1,200
2,212002,2,7,2,2,31,7,1,180
3,212002,2,7,2,2,33,7,1,150
4,212002,2,7,2,2,35,7,1,200
5,212002,2,7,2,2,37,7,1,300
6,212002,2,7,2,2,39,7,1,500
7,212002,2,7,2,2,41,7,1,400
1,212102,6,3,3,2,43,4,1,500
2,212102,6,3,3,2,44,4,1,350
4,212102,6,3,3,2,48,4,1,416
5,212102,6,3,3,2,50,4,1,416
6,212102,6,3,3,2,52,4,1,416
7,212102,6,3,3,2,54,4,1,416
1,212402,6,2,3,2,49,4,1,200
4,212402,6,2,3,2,54,4,1,200
7,212402,6,2,3,2,60,4,1,200
1,212704,2,6,3,3,33,8,2,200
2,212704,2,6,3,3,34,8,2,150
3,212704,2,6,3,3,36,8,2,120
4,212704,2,6,3,3,38,8,2,150
5,212704,2,6,3,3,40,8,2,100
3,212901,6,3,2,2,31,6,1,180
4,212901,6,3,2,2,33,6,1,500
5,212901,6,3,2,2,35,6,1,450
6,212901,6,3,2,2,37,6,1,350
7,212901,6,3,2,2,39,6,1,300
1,212902,6,3,3,2,26,8,2,167
2,212902,6,3,3,2,27,8,1,180
3,212902,6,3,3,2,29,8,1,200
4,212902,6,3,3,2,31,8,1,200
5,212902,6,3,3,2,33,8,1,220
6,212902,6,3,3,2,35,8,1,250
7,212902,6,3,3,2,37,8,1,250
4,212903,6,3,2,2,27,6,2,130
5,212903,6,3,2,2,29,6,1,200
6,212903,6,3,2,2,31,6,1,200
7,212903,6,3,2,2,33,6,1,200
6,213002,6,2,2,2,54,4,1,100
7,213002,6,2,2,2,56,4,1,100
1,213202,6,2,3,2,33,4,1,150
3,213202,6,2,3,2,36,4,1,150
4,213202,6,2,3,2,38,4,1,120
5,213202,6,2,3,2,40,4,1,200
6,213202,6,2,3,2,42,4,1,200
7,213202,6,2,3,2,44,4,1,250
5,213402,6,2,3,2,40,4,1,120
6,213402,6,2,3,2,42,4,1,130
3,213502,3,4,2,2,41,7,1,250
4,213502,3,4,2,2,43,7,1,200
5,213502,3,4,2,2,45,7,1,50
6,213502,3,4,2,2,47,7,1,100
7,213502,3,4,2,2,49,7,1,100
3,213702,6,2,3,4,50,4,1,70
4,213702,6,2,3,4,52,4,1,70
5,213702,6,2,3,4,54,4,1,100
7,213702,6,2,3,4,58,4,1,100
5,213704,7,4,3,4,27,7,2,200
7,213704,7,4,3,4,31,7,2,230
1,213801,5,2,3,2,47,7,1,150
4,213901,6,2,4,4,60,3,1,125
5,213901,6,2,4,4,62,3,1,150
6,213901,6,2,4,4,64,3,1,150
7,213901,6,2,4,4,66,3,1,180
5,214002,3,4,2,2,43,7,1,300
6,214002,3,4,2,2,45,7,1,200
3,214102,6,2,3,2,36,6,1,75
4,214102,6,2,3,2,38,6,1,60
6,214102,6,2,3,2,42,6,1,120
1,214203,9,-9,4,4,31,6,2,120
2,214203,9,-9,4,4,32,6,2,130
3,214203,9,-9,4,4,34,6,2,120
4,214203,9,-9,4,4,36,6,2,160
1,214301,6,1,4,3,47,2,1,120
2,214301,6,1,4,3,48,2,1,120
5,214402,6,2,3,3,53,6,1,65
1,214502,6,2,4,4,49,4,1,100
2,214502,6,2,4,4,50,4,1,100
3,214502,6,2,4,4,52,4,1,100
4,214502,6,2,4,4,54,4,1,200
5,214502,6,2,4,4,56,4,1,200
7,214502,6,2,4,4,60,4,1,250
1,215102,5,3,3,3,39,6,1,150
2,215102,5,3,3,3,40,6,1,200
3,215102,5,3,3,3,42,6,1,120
4,215102,5,3,3,3,44,6,1,170
5,215102,5,3,3,3,46,6,1,100
3,215402,5,4,3,3,33,6,1,40
4,215402,5,4,3,3,35,6,1,40
5,215402,5,4,3,3,37,6,1,20
6,215402,5,4,3,3,39,6,1,150
7,215402,5,4,3,3,41,6,1,170
1,215503,5,4,2,3,22,6,2,90
3,215503,5,4,2,3,25,6,2,120
3,215504,1,4,2,2,19,6,2,100
7,215504,1,4,2,2,27,6,2,200
2,215901,3,4,4,4,23,7,2,150
2,216002,9,2,2,2,38,4,1,130
3,216002,9,2,2,2,40,4,1,100
4,216002,9,2,2,2,42,4,1,200
5,216002,9,2,2,2,44,4,1,250
6,216002,9,2,2,2,46,4,1,250
7,216002,9,2,2,2,48,4,1,250
1,216202,6,2,2,2,40,5,1,170
5,216202,6,2,2,2,47,5,1,144
6,216202,6,2,2,2,49,5,1,120
7,216202,6,2,2,2,51,5,1,130
3,216402,9,2,2,3,34,6,1,35
1,216502,12,0,4,6,36,4,1,100
2,216502,12,0,4,6,37,4,1,90
3,216502,12,0,4,6,39,4,1,130
4,216502,12,0,4,6,41,4,1,160
5,216502,12,0,4,6,43,4,1,150
6,216502,12,0,4,6,45,4,1,150
7,216502,12,0,4,6,47,4,1,200
7,216503,7,4,4,3,27,7,2,150
1,216601,9,2,3,2,46,3,1,120
2,216601,9,2,3,2,47,3,1,160
3,216601,9,2,3,2,49,3,1,150
4,216601,9,2,3,2,51,3,1,200
5,216601,9,2,3,2,53,3,1,150
6,216601,9,2,3,2,55,3,1,150
7,216601,9,2,3,2,57,3,1,200
4,216602,-8,-8,4,2,25,7,2,120
5,216602,-8,-8,4,2,27,7,2,150
6,216602,-8,-8,4,2,29,7,2,160
7,216602,-8,-8,4,2,31,7,2,170
2,216903,3,6,3,3,25,7,2,120
3,216903,3,6,3,3,27,7,2,160
4,217002,9,2,4,4,50,5,1,140
5,217002,9,2,4,4,52,5,1,160
6,217002,9,2,4,4,54,5,1,170
7,217002,9,2,4,4,56,5,1,180
1,217303,3,4,4,3,28,7,2,150
2,217303,3,4,4,3,29,7,2,60
2,217305,3,4,3,3,27,7,2,160
2,217403,1,5,3,2,21,6,2,120
3,217403,1,5,3,2,23,6,2,150
4,217403,1,5,3,2,25,6,1,150
1,217504,2,4,3,2,22,6,2,100
2,217504,2,4,3,2,23,6,2,110
3,217504,2,4,3,2,25,6,2,110
5,217504,2,4,3,2,29,6,1,100
6,217504,2,4,3,2,31,6,1,200
7,217504,2,4,3,2,33,6,1,200
1,217702,6,1,4,4,48,3,1,35
7,218102,6,3,4,3,51,5,1,400
7,218203,3,4,4,3,32,7,2,180
2,218301,11,4,3,4,29,6,2,30
5,218402,3,4,3,3,46,6,1,70
6,218402,3,4,3,3,48,6,1,150
7,218402,3,4,3,3,50,6,1,200
1,218502,1,6,2,2,27,7,1,200
2,218502,1,6,2,2,28,7,1,200
3,218502,1,6,2,2,30,7,1,250
4,218802,11,2,4,3,47,5,1,70
5,218802,11,2,4,3,49,5,1,70
1,218902,6,2,4,3,54,3,1,100
4,218904,6,4,3,2,29,6,1,200
5,218904,6,4,3,2,31,6,1,200
4,219001,2,6,2,2,44,6,1,150
3,219202,5,2,4,3,51,2,1,150
1,219204,5,2,4,2,24,7,2,100
2,219204,5,2,4,2,25,7,2,130
4,219302,7,3,3,3,40,4,1,30
5,219302,7,3,3,3,42,4,1,120
6,219302,7,3,3,3,44,4,1,140
3,219402,6,3,2,4,36,7,1,36
1,219501,12,0,4,6,37,5,1,60
2,219501,12,0,4,6,38,5,1,40
3,219501,12,0,4,6,40,5,1,120
3,219602,6,2,3,3,35,4,1,90
4,219602,6,2,3,3,37,4,1,100
6,219602,6,2,3,3,41,4,1,130
7,219602,6,2,3,3,43,4,1,150
1,219701,9,1,5,2,64,1,1,10
2,219701,9,1,5,2,65,1,1,10
6,219802,6,1,3,2,42,5,1,120
7,219802,6,1,3,2,44,5,1,120
1,219902,7,1,4,4,36,4,1,60
3,220002,6,1,4,3,53,2,1,80
7,220202,7,2,3,4,46,4,1,100
1,220302,6,1,4,4,45,3,1,100
1,220303,7,2,3,3,22,6,2,120
5,220402,5,3,2,2,46,5,1,50
6,220402,5,3,2,2,48,5,1,75
7,220402,5,3,2,2,50,5,1,110
7,220404,5,6,2,2,23,6,2,200
1,220502,12,0,4,6,36,6,1,50
2,220502,12,0,4,6,37,6,1,142
3,220502,12,0,4,6,39,6,1,100
4,220502,12,0,4,6,41,6,1,50
5,220502,12,0,4,6,43,6,1,100
6,220502,12,0,4,6,45,6,1,150
7,220502,12,0,4,6,47,6,1,170
1,220602,6,2,4,2,42,5,1,60
1,220702,6,5,4,3,43,4,1,30
2,220702,6,5,4,3,44,4,1,100
1,220802,6,3,3,2,41,4,1,100
7,220802,6,3,3,2,52,4,1,100
7,220803,3,3,4,2,27,6,2,200
4,220902,10,4,2,2,47,7,1,50
5,220902,10,4,2,2,49,7,1,80
6,220902,10,4,2,2,51,7,1,70
7,220902,10,4,2,2,53,7,1,70
7,220904,5,6,3,3,22,6,2,180
3,221002,6,2,3,2,40,7,1,50
1,221102,8,4,3,2,37,7,1,140
2,221102,8,4,3,2,38,7,1,150
3,221102,8,4,3,2,40,7,1,150
4,221102,8,4,3,2,42,7,1,250
5,221102,8,4,3,2,44,7,1,200
6,221102,8,4,3,2,46,7,1,300
7,221102,8,4,3,2,48,7,1,300
4,221201,1,3,3,2,44,5,1,120
3,221401,6,2,2,2,53,3,1,50
5,221401,6,2,2,2,57,3,1,80
6,221401,6,2,2,2,59,3,1,100
1,221701,2,4,4,4,24,5,2,140
2,221701,2,4,4,4,25,5,2,150
1,222001,5,4,3,3,24,6,2,130
2,222001,5,4,3,3,25,6,2,120
4,222102,3,4,2,2,48,5,1,170
5,222102,3,4,2,2,50,5,1,180
6,222102,3,4,2,2,52,5,1,185
7,222102,3,4,2,2,54,5,1,185
6,222104,5,6,3,3,25,7,2,150
7,222104,5,6,3,3,27,7,2,170
5,222202,9,4,3,3,40,6,1,20
6,222202,9,4,3,3,42,6,1,80
7,222202,9,4,3,3,44,6,1,100
7,222302,12,0,5,6,46,7,1,200
4,222402,9,3,4,4,46,4,1,64
5,222402,9,3,4,4,48,4,1,64
6,222402,9,3,4,4,50,4,1,150
7,222402,9,3,4,4,52,4,1,160
1,222802,3,3,2,2,43,4,1,50
2,222802,3,3,2,2,44,4,1,80
5,222802,3,3,2,2,50,4,1,150
6,222802,3,3,2,2,52,4,1,120
7,222802,3,3,2,2,54,4,1,150
1,222902,9,1,3,2,46,6,1,60
2,223002,6,3,3,2,43,2,1,100
3,223002,6,3,3,2,45,2,1,120
4,223002,6,3,3,2,47,2,1,130
5,223002,6,3,3,2,49,2,1,100
6,223002,6,3,3,2,51,2,1,130
7,223002,6,3,3,2,53,2,1,150
5,223003,3,4,4,4,27,6,2,100
6,223003,3,4,4,4,29,6,2,150
7,223003,3,4,4,4,31,6,2,170
1,223102,6,3,2,2,31,4,1,80
2,223102,6,3,2,2,32,4,1,75
3,223102,6,3,2,2,34,4,1,70
4,223102,6,3,2,2,36,4,1,96
5,223102,6,3,2,2,38,4,1,110
6,223102,6,3,2,2,40,4,1,130
3,223402,6,3,4,4,43,5,1,36
4,223402,6,3,4,4,45,5,1,10
5,223402,6,3,4,4,47,5,1,20
6,223402,6,3,4,4,49,5,1,70
7,223402,6,3,4,4,51,5,1,50
1,223502,6,3,3,3,36,4,1,50
3,223502,6,3,3,3,39,4,1,80
4,223502,6,3,3,3,41,4,1,150
3,223602,5,2,3,1,57,3,1,90
4,223602,5,2,3,1,59,3,1,83
5,223702,6,2,3,3,51,5,1,160
6,223702,6,2,3,3,53,5,1,150
7,223702,6,2,3,3,55,5,1,150
1,223802,4,3,3,3,38,7,1,200
2,223802,4,3,3,3,39,7,1,250
3,223802,4,3,3,3,41,7,1,220
4,223802,4,3,3,3,43,7,1,350
5,223802,4,3,3,3,45,7,1,400
6,223802,4,3,3,3,47,7,1,350
7,223802,4,3,3,3,49,7,1,350
4,224003,1,6,3,3,22,7,2,130
2,224202,6,4,3,2,34,6,1,150
2,224302,3,4,2,2,34,7,1,100
3,224302,3,4,2,2,36,7,1,200
4,224302,3,4,2,2,38,7,1,120
5,224302,3,4,2,2,40,7,1,180
6,224302,3,4,2,2,42,7,1,250
7,224302,3,4,2,2,44,7,1,250
5,224402,4,4,3,2,38,5,1,60
6,224402,4,4,3,2,40,5,1,160
7,224402,4,4,3,2,42,5,1,150
6,224602,6,3,3,2,39,6,1,120
7,224602,6,3,3,2,41,6,1,150
1,224701,12,0,4,6,42,4,2,50
5,224802,6,1,2,2,42,7,1,200
5,224902,6,2,4,2,62,3,1,110
6,224902,6,2,4,2,64,3,1,130
7,224902,6,2,4,2,66,3,1,160
1,225102,5,6,2,3,40,6,1,100
2,225102,5,6,2,3,41,6,1,100
3,225102,5,6,2,3,43,6,1,120
4,225102,5,6,2,3,45,6,1,250
5,225102,5,6,2,3,47,6,1,100
6,225102,5,6,2,3,49,6,1,100
7,225102,5,6,2,3,51,6,1,200
1,225203,3,2,2,2,38,7,2,120
2,225203,3,2,2,2,39,7,2,200
3,225203,3,2,2,2,41,7,2,200
4,225203,3,2,2,2,43,7,2,40
1,225402,3,6,3,3,33,6,1,200
2,225402,3,6,3,3,34,6,1,400
3,225402,3,6,3,3,36,6,1,300
4,225402,3,6,3,3,38,6,1,200
3,225501,5,1,3,3,59,2,1,100
4,225501,5,1,3,3,61,2,1,100
6,225602,6,2,4,3,42,4,1,90
7,225602,6,2,4,3,44,4,1,150
7,225703,12,0,4,6,19,7,2,45
7,225704,9,3,3,3,47,5,1,200
1,225802,1,4,4,3,34,7,1,60
2,225802,1,4,4,3,35,7,1,250
4,225902,6,2,4,3,40,4,1,120
5,225902,6,2,4,3,42,4,1,150
6,225902,6,2,4,3,44,4,1,150
7,225902,6,2,4,3,46,4,1,150
3,226502,6,1,3,3,64,1,1,30
1,226602,6,2,3,2,52,2,1,80
2,226602,6,2,3,2,53,2,1,80
3,226602,6,2,3,2,55,2,1,90
4,226602,6,2,3,2,57,2,1,100
5,226602,6,2,3,2,59,2,1,100
6,226602,6,2,3,2,61,2,1,130
7,226602,6,2,3,2,63,2,1,150
1,226802,11,2,5,2,48,3,1,60
2,226802,11,2,5,2,49,3,1,60
3,226802,11,2,5,2,51,3,1,50
4,226802,11,2,5,2,53,3,1,50
5,226802,11,2,5,2,55,3,1,100
6,226802,11,2,5,2,57,3,1,120
7,226802,11,2,5,2,59,3,1,100
1,226902,11,2,5,1,36,4,1,10
2,226902,11,2,5,1,37,4,1,60
5,226902,11,2,5,1,43,4,1,100
6,226902,11,2,5,1,45,4,1,130
7,226902,11,2,5,1,47,4,1,140
3,227002,12,0,4,6,34,5,1,13
1,227003,-9,1,4,4,33,6,2,130
2,227003,-9,1,4,4,34,6,2,130
3,227003,-9,1,4,4,36,6,2,130
7,227003,-9,1,4,4,44,6,2,140
1,227102,6,2,3,1,36,5,1,30
2,227102,6,2,3,1,37,5,1,100
3,227102,6,2,3,1,39,5,1,110
4,227102,6,2,3,1,41,5,1,120
5,227102,6,2,3,1,43,5,1,150
6,227102,6,2,3,1,45,5,1,180
7,227102,6,2,3,1,47,5,1,220
2,227202,12,0,3,6,34,5,1,38
3,227202,12,0,3,6,36,5,1,40
4,227202,12,0,3,6,38,5,1,70
5,227202,12,0,3,6,40,5,1,110
6,227202,12,0,3,6,42,5,1,150
7,227202,12,0,3,6,44,5,1,170
5,227301,6,2,4,3,39,6,1,120
7,227403,3,4,2,2,25,7,2,200
3,227502,3,2,4,3,40,4,1,50
4,227502,3,2,4,3,42,4,1,100
5,227502,3,2,4,3,44,4,1,100
6,227502,3,2,4,3,46,4,1,160
7,227502,3,2,4,3,48,4,1,150
1,227701,6,2,4,3,47,3,1,120
2,227701,6,2,4,3,48,3,1,120
3,227701,6,2,4,3,50,3,1,110
2,227901,6,2,4,6,37,4,1,85
3,227901,6,2,4,6,39,4,1,80
4,227901,6,2,4,6,41,4,1,70
5,227901,6,2,4,6,43,4,1,70
4,228002,7,4,4,3,43,5,1,100
5,228002,7,4,4,3,45,5,1,130
6,228002,7,4,4,3,47,5,1,150
7,228002,7,4,4,3,49,5,1,200
4,228102,12,0,3,6,20,7,2,40
5,228102,12,0,3,6,22,7,2,60
3,228202,7,4,3,1,44,5,1,30
4,228202,7,4,3,1,46,5,1,100
5,228202,7,4,3,1,48,5,1,50
6,228202,7,4,3,1,50,5,1,30
7,228202,7,4,3,1,52,5,1,30
7,228203,1,6,3,2,28,7,2,100
6,228204,2,6,3,3,24,7,2,300
7,228204,2,6,3,3,26,7,2,300
6,228302,7,3,2,3,55,4,1,200
7,228302,7,3,2,3,57,4,1,100
2,228602,5,3,3,2,43,4,1,200
3,228602,5,3,3,2,45,4,1,200
2,228801,6,1,3,3,39,8,2,170
3,228801,6,1,3,3,41,8,2,180
4,228801,6,1,3,3,43,8,2,215
5,228901,7,2,3,2,56,3,1,130
6,228901,7,2,3,2,58,3,1,100
7,228901,7,2,3,2,60,3,1,50
1,229102,7,2,2,2,49,2,1,100
2,229102,7,2,2,2,50,2,1,100
3,229102,7,2,2,2,52,2,1,150
1,229302,3,4,2,4,19,4,2,100
1,229402,10,3,1,1,47,5,1,50
2,229402,10,3,1,1,48,5,1,100
3,229402,10,3,1,1,50,5,1,200
4,229402,10,3,1,1,52,5,1,100
7,229502,6,1,2,2,74,3,1,30
6,229603,7,5,3,3,19,4,2,150
7,229603,7,5,3,3,21,4,2,180
1,229902,7,2,4,2,37,7,1,500
2,229902,7,2,4,2,38,7,1,500
4,229902,7,2,4,2,42,7,1,500
5,229902,7,2,4,2,44,7,1,200
6,229902,7,2,4,2,46,7,1,200
7,229902,7,2,4,2,48,7,1,600
4,230002,8,2,2,2,42,5,1,60
5,230002,8,2,2,2,44,5,1,120
6,230002,8,2,2,2,46,5,1,150
7,230002,8,2,2,2,48,5,1,165
1,230102,1,4,3,4,27,6,1,250
2,230102,1,4,3,4,28,6,1,200
3,230102,1,4,3,4,30,6,1,250
4,230102,1,4,3,4,32,6,1,300
5,230102,1,4,3,4,34,6,1,500
6,230102,1,4,3,4,36,6,1,500
7,230102,1,4,3,4,38,6,1,600
1,230402,3,3,3,2,30,4,1,100
6,230402,3,3,3,2,39,4,1,200
7,230402,3,3,3,2,41,4,1,430
2,230901,7,3,4,4,22,4,2,100
3,230901,7,3,4,4,24,4,2,140
5,230901,7,3,4,4,28,4,2,210
6,230901,7,3,4,4,30,4,1,190
7,230901,7,3,4,4,32,4,1,200
5,231101,10,4,3,3,42,7,2,170
6,231101,10,4,3,3,44,7,2,200
4,231202,6,3,3,2,51,7,1,60
5,231202,6,3,3,2,53,8,1,120
6,231202,6,3,3,2,55,8,1,120
7,231202,6,3,3,2,57,8,1,100
5,231501,6,3,3,2,44,7,1,200
6,231501,6,3,3,2,46,7,1,200
7,231501,6,3,3,2,48,7,1,300
6,231602,6,2,3,2,55,4,1,100
7,231602,6,2,3,2,57,4,1,150
5,231702,6,2,4,2,53,4,1,130
6,231702,6,2,4,2,55,4,1,150
7,231702,6,2,4,2,57,4,1,160
1,231903,7,4,3,4,48,5,1,150
2,231903,7,4,3,4,49,5,1,120
3,231903,7,4,3,4,51,5,1,170
4,231903,7,4,3,4,53,5,1,160
5,231903,7,4,3,4,55,5,1,150
6,231903,7,4,3,4,57,6,1,200
7,231903,7,4,3,4,59,6,1,150
1,232002,9,2,4,3,33,7,1,350
2,232002,9,2,4,3,34,7,1,340
3,232002,9,2,4,3,36,7,1,330
4,232002,9,2,4,3,38,7,1,390
5,232002,9,2,4,3,40,7,1,420
6,232002,9,2,4,3,42,7,1,480
7,232002,9,2,4,3,44,7,1,480
1,232104,9,3,4,4,32,4,1,100
2,232104,9,3,4,4,33,4,1,100
5,232104,9,3,4,4,39,4,1,150
4,232202,7,4,2,2,35,6,1,70
5,232202,7,4,2,2,37,6,1,95
6,232202,7,4,2,2,39,6,1,200
7,232202,7,4,2,2,41,6,1,220
1,232302,6,3,2,2,55,3,1,100
2,232302,6,3,2,2,56,3,1,80
7,232302,6,3,2,2,66,3,1,120
1,232303,7,4,3,3,28,7,2,200
2,232303,7,4,3,3,29,7,2,180
3,232303,7,4,3,3,31,7,2,280
4,232303,7,4,3,3,33,7,2,250
5,232303,7,4,3,3,35,7,2,300
6,232303,7,4,3,3,37,7,2,320
7,232303,7,4,3,3,39,7,2,340
6,232502,11,7,4,3,57,3,1,40
7,232502,11,7,4,3,59,3,1,100
1,232602,3,4,3,3,47,5,1,200
2,232602,3,4,3,3,48,5,1,150
4,232602,3,4,3,3,52,5,1,100
5,232602,3,4,3,3,54,5,1,120
6,232602,3,4,3,3,56,5,1,80
7,232602,3,4,3,3,58,5,1,100
6,232604,8,4,3,2,25,6,2,100
7,232604,8,4,3,2,27,6,2,100
4,232902,11,4,3,3,40,4,1,33
6,232902,11,4,3,3,44,4,1,60
7,232902,11,4,3,3,46,4,1,140
1,233102,-9,1,4,3,43,5,1,100
1,233401,7,1,4,4,34,4,1,150
2,233401,7,1,4,4,35,4,1,240
3,233401,7,1,4,4,37,4,1,200
4,233401,7,1,4,4,39,4,1,260
5,233401,7,1,4,4,41,4,1,280
6,233401,7,1,4,4,43,4,1,290
7,233401,7,1,4,4,45,4,1,360
7,233403,6,1,4,5,67,3,1,28
1,233602,9,4,4,4,24,7,2,145
2,233602,9,4,4,4,25,7,2,170
3,233602,9,4,4,4,27,7,2,180
4,233602,9,4,4,4,29,7,2,200
6,233602,9,4,4,4,33,7,2,250
7,233602,9,4,4,4,35,7,1,250
1,233702,7,5,2,2,52,3,1,120
3,233702,7,5,2,2,55,3,1,30
5,233802,7,3,5,-9,41,4,1,140
3,234002,1,3,3,2,47,6,1,800
4,234002,1,3,3,2,49,6,1,300
5,234002,1,3,3,2,51,6,1,500
6,234002,1,3,3,2,53,6,1,300
7,234002,1,3,3,2,55,6,1,300
1,234003,4,6,2,2,22,7,2,44
3,234003,4,6,2,2,25,7,2,240
4,234003,4,6,2,2,27,7,2,330
5,234003,4,6,2,2,29,7,2,400
6,234003,4,6,2,2,31,7,2,250
7,234003,4,6,2,2,33,7,2,270
1,234004,4,6,2,2,20,7,2,44
3,234004,4,6,2,2,23,7,2,150
4,234004,4,6,2,2,25,7,2,180
5,234004,4,6,2,2,27,7,2,230
6,234004,4,6,2,2,29,7,2,230
7,234004,4,6,2,2,31,7,2,250
7,234101,1,3,2,2,57,4,1,200
3,234102,1,6,3,2,24,7,2,180
4,234102,1,6,3,2,26,7,2,200
6,234202,5,4,3,2,52,5,1,100
7,234202,5,4,3,2,54,5,1,150
5,234204,5,6,2,1,23,7,2,150
6,234204,5,6,2,1,25,7,2,180
7,234204,5,6,2,1,27,7,2,200
1,234302,12,0,3,6,42,7,1,30
2,234302,12,0,3,6,43,7,1,30
3,234302,12,0,3,6,45,7,1,35
4,234302,12,0,3,6,47,7,1,40
5,234302,12,0,3,6,49,7,1,120
6,234302,12,0,3,6,51,7,1,80
7,234302,12,0,3,6,53,7,1,98
7,234303,1,6,3,2,24,7,2,200
1,234501,12,0,4,6,35,4,1,200
1,234601,6,2,4,3,43,3,1,150
3,234601,6,2,4,3,46,3,1,130
1,234603,8,4,2,4,23,6,2,150
1,234701,8,4,4,2,35,7,2,200
2,234701,8,4,4,2,36,7,2,200
3,234701,8,4,4,2,38,7,2,250
4,234701,8,4,4,2,40,7,2,200
5,234701,8,4,4,2,42,7,2,250
3,234802,11,2,3,3,43,2,1,90
1,234902,6,2,4,3,49,3,1,77
2,234902,6,2,4,3,50,3,1,82
3,234902,6,2,4,3,52,3,1,90
4,234902,6,2,4,3,54,3,1,110
5,234902,6,2,4,3,56,3,1,40
6,234902,6,2,4,3,58,3,1,110
7,234902,6,2,4,3,60,3,1,100
5,235102,6,1,3,2,44,5,1,160
6,235102,6,1,3,2,46,5,1,200
7,235102,6,1,3,2,48,5,1,300
1,235202,12,0,4,6,47,3,1,75
3,235202,12,0,4,6,50,3,1,75
4,235202,12,0,4,6,52,3,1,50
5,235202,12,0,4,6,54,3,1,200
6,235202,12,0,4,6,56,3,1,170
7,235202,12,0,4,6,58,3,1,110
1,235203,7,4,2,2,21,6,2,50
6,235203,7,4,2,2,30,6,1,50
7,235203,7,4,2,2,32,6,1,200
2,235302,6,2,5,2,53,4,1,100
3,235302,6,2,5,2,55,4,1,59
5,235302,6,2,5,2,59,4,1,100
6,235302,6,2,5,2,61,4,1,120
7,235302,6,2,5,2,63,4,1,160
2,235304,7,5,3,3,24,7,2,140
3,235304,7,5,3,3,26,7,2,150
5,235304,7,5,3,3,30,7,2,230
6,235304,7,5,3,3,32,7,2,225
1,235402,6,1,3,2,46,4,1,50
2,235402,6,1,3,2,47,4,1,100
3,235402,6,1,3,2,49,4,1,100
5,235402,6,1,3,2,53,4,1,110
7,235402,6,1,3,2,57,4,1,50
1,235403,7,4,3,3,24,7,2,100
2,235403,7,4,3,3,25,7,2,50
3,235403,7,4,3,3,27,7,2,200
4,235403,7,4,3,3,29,7,2,150
5,235403,7,4,3,3,31,7,2,150
6,235403,7,4,3,3,33,7,2,120
7,235403,7,4,3,3,35,7,2,200
4,235601,12,0,4,6,66,5,1,80
1,235703,6,2,3,2,55,3,1,60
4,235802,6,1,4,2,60,1,1,80
5,235802,6,1,4,2,62,1,1,80
6,235802,6,1,4,2,64,1,1,80
7,235802,6,1,4,2,66,1,1,80
1,235901,6,1,5,1,57,1,1,85
1,236001,3,4,3,3,36,4,1,150
1,236102,12,0,3,6,35,4,2,150
3,236102,12,0,3,6,38,4,2,160
5,236102,12,0,3,6,42,4,2,185
6,236102,12,0,3,6,44,4,2,200
7,236102,12,0,3,6,46,4,2,200
1,236302,1,3,1,4,33,4,1,100
2,236302,1,3,1,4,34,4,1,80
3,236302,1,3,1,4,36,4,1,100
1,236501,4,2,4,2,58,2,1,130
4,236602,6,2,3,3,56,3,1,300
5,236602,6,2,3,3,58,3,1,100
4,236603,8,3,3,3,31,5,1,150
5,236603,8,3,3,3,33,5,1,150
6,236603,8,3,3,3,35,5,1,300
