WAVE,OPID,P011505,P011510,P011518,P011508,P99AG,P99ED01,P04ML01,JOBSAL
조사회차,패널ID,15세 아버지 직업,아버지 최종학력,15세 가정 형편,15세 부모님 관계,연령,학력,결혼경험,월 급여
5,607901,6,1,5,2,71,1,1,58
6,607901,6,1,5,2,73,1,1,50
7,607901,6,1,5,2,75,1,1,60
1,608401,6,1,4,2,63,2,1,20
3,608401,6,1,4,2,66,2,1,30
4,608401,6,1,4,2,68,2,1,50
5,608401,6,1,4,2,70,2,1,45
6,608401,6,1,4,2,72,2,1,20
7,608401,6,1,4,2,74,2,1,20
3,608602,9,2,3,2,29,4,1,120
4,608602,9,2,3,2,31,4,1,100
1,608702,3,3,2,2,28,6,1,125
2,608702,3,3,2,2,29,6,1,120
3,608702,3,3,2,2,31,6,1,130
4,608702,3,3,2,2,33,6,1,160
7,608702,3,3,2,2,39,6,1,250
1,608802,6,2,4,3,37,5,1,50
2,608802,6,2,4,3,38,5,1,60
3,608802,6,2,4,3,40,5,1,80
4,608802,6,2,4,3,42,5,1,70
5,608802,6,2,4,3,44,5,1,80
6,608802,6,2,4,3,46,5,1,140
7,608802,6,2,4,3,48,5,1,150
3,608902,6,2,3,1,38,4,1,80
4,608902,6,2,3,1,40,4,1,120
5,608902,6,2,3,1,42,4,1,45
6,608902,6,2,3,1,44,4,1,45
7,608902,6,2,3,1,46,4,1,60
1,609001,8,4,3,3,32,8,2,167
2,609001,8,4,3,3,33,8,2,250
3,609001,8,4,3,3,35,8,2,250
1,609202,8,2,2,3,41,6,1,60
2,609202,8,2,2,3,42,6,1,40
1,609301,6,2,4,3,36,7,2,300
2,609301,6,2,4,3,37,7,2,300
5,609301,6,2,4,3,43,7,2,250
2,609502,6,2,4,2,40,7,1,90
3,609502,6,2,4,2,42,7,1,92
4,609502,6,2,4,2,44,7,1,130
5,609502,6,2,4,2,46,7,1,120
6,609502,6,2,4,2,48,7,1,170
7,609502,6,2,4,2,50,7,1,200
7,609702,6,2,4,3,72,2,1,100
7,609902,6,2,4,3,64,2,1,60
1,610101,6,2,4,3,62,1,1,100
2,610101,6,2,4,3,63,1,1,80
3,610101,6,2,4,3,65,1,1,80
4,610101,6,2,4,3,67,1,1,80
5,610101,6,2,4,3,69,1,1,100
6,610101,6,2,4,3,71,1,1,100
7,610101,6,2,4,3,73,1,1,80
3,610702,6,1,4,3,39,4,1,40
7,610702,6,1,4,3,47,4,1,180
1,610802,6,2,3,1,50,3,1,300
7,610902,6,2,3,2,72,2,1,100
1,611102,6,1,4,2,63,2,1,250
3,611202,6,4,3,4,40,4,1,110
4,611202,6,4,3,4,42,4,1,150
5,611202,6,4,3,4,44,4,1,76
6,611202,6,4,3,4,46,4,1,175
7,611202,6,4,3,4,48,4,1,180
1,611302,5,3,3,3,39,7,1,200
3,611302,5,3,3,3,42,7,1,200
4,611302,5,3,3,3,44,7,1,200
5,611302,5,3,3,3,46,7,1,200
6,611302,5,3,3,3,48,7,1,200
7,611302,5,3,3,3,50,7,1,250
6,611402,5,2,3,2,45,6,1,250
7,611402,5,2,3,2,47,6,1,250
1,611602,6,4,5,4,42,7,1,250
2,611602,6,4,5,4,43,7,1,300
3,611602,6,4,5,4,45,7,1,300
4,611602,6,4,5,4,47,7,1,300
5,611602,6,4,5,4,49,7,1,450
6,611602,6,4,5,4,51,7,1,400
7,611602,6,4,5,4,53,7,1,430
1,611902,6,2,5,2,57,3,1,85
3,611902,6,2,5,2,60,3,1,60
5,611902,6,2,5,2,64,3,1,85
6,611902,6,2,5,2,66,3,1,80
1,612002,6,1,5,3,57,2,1,70
2,612002,6,1,5,3,58,2,1,100
3,612002,6,1,5,3,60,2,1,80
4,612002,6,1,5,3,62,2,1,120
5,612002,6,1,5,3,64,2,1,120
1,612101,6,1,5,2,63,2,1,20
2,612101,6,1,5,2,64,2,1,20
3,612101,6,1,5,2,66,2,1,30
4,612101,6,1,5,2,68,2,1,120
5,612101,6,1,5,2,70,2,1,60
6,612101,6,1,5,2,72,2,1,60
2,612202,6,2,3,3,44,5,1,60
3,612202,6,2,3,3,46,5,1,65
4,612202,6,2,3,3,48,5,1,50
5,612202,6,2,3,3,50,5,1,40
6,612202,6,2,3,3,52,5,1,60
7,612202,6,2,3,3,54,5,1,50
1,612402,12,0,2,6,51,4,1,90
2,612402,12,0,2,6,52,4,1,80
3,612402,12,0,2,6,54,4,1,100
4,612402,12,0,2,6,56,4,1,120
5,612402,12,0,2,6,58,6,1,150
6,612402,12,0,2,6,60,6,1,140
7,612402,12,0,2,6,62,6,1,140
4,612502,11,2,5,4,38,4,1,80
1,612602,6,3,2,2,40,3,1,50
2,612602,6,3,2,2,41,3,1,120
3,612602,6,3,2,2,43,3,1,80
4,612602,6,3,2,2,45,3,1,120
7,612902,6,3,3,3,68,2,1,80
2,613102,6,2,4,3,62,3,1,50
