,,성장환경,,,,개인 spec.,,,,,,일자리 특징,,,,종속변수,,,,,,,,
WAVE,OPID,P011505,P011510,P011518,P011508,P99AG,P99ED01,P04ML01,P02ED07,P02MC01,P02ED16,WCSEL01,PP99RA,WCKD,WCEMP,JOBSAL,P03SJ01,P03RT04,P03JH03,P06SJ01,P06RT04,W10EJ01B,W09SJ01,W09TW09D
조사회차,패널ID,15세 아버지 직업,아버지 최종학력,15세 가정 형편,15세 부모님 관계,연령,학력,결혼경험,고등학교 종류,대학전공,대학소재지,일자리구분(정규/비정규),직위,직장종류,사업체 직원 수,월 급여,첫 직장입직,첫 직장 퇴직,첫직장 유지,새로운 일자리 입직,하던일 퇴직,최근 일자리 그만둔 시점,이전일자리 입직,이전일자리 퇴직
7,1904,7,4,4,3,35,7,1,,,,1,1,1,7,450,,,,,,,,
1,2001,6,2,3,3,57,7,1,2,1,1,,,,,,,,,,,,,
4,2001,6,2,3,3,62,7,1,,,,,,,,,,,,,,,,
5,2001,6,2,3,3,64,7,1,,,,,,,,,,,,,,,,
6,2001,6,2,3,3,66,7,1,,,,,,,,,,,,,,,,
7,2001,6,2,3,3,68,7,1,,,,,,,,,,,,,,,,
1,2102,3,4,4,2,38,7,1,1,3,1,,,,,,1991,1996,2,,,2002,1998,2002
2,2102,3,4,4,2,39,7,1,,,,,4,,,0,,,,,,,,
1,2202,6,4,5,3,31,4,1,3,,,,,,,,1994,2001,2,,,2001,1996,2001
2,2202,6,4,5,3,32,4,1,,,,,,,,,,,,,,,,
4,2202,6,4,5,3,36,4,1,,,,,3,,,,,,,,,,,
5,2202,6,4,5,3,38,4,1,,,,,3,,,,,,,,,,,
6,2202,6,4,5,3,40,4,1,,,,,3,,,0,,,,,,,,
7,2202,6,4,5,3,42,4,1,,,,,3,,,150,,,,,,,,
1,2302,6,2,3,3,42,4,1,3,,,,2,,,100,1986,1989,2,,,,2004,2007
2,2302,6,2,3,3,43,4,1,,,,,2,,,150,,,,,,,,
3,2302,6,2,3,3,45,4,1,,,,,2,,,200,,,,,,,,
4,2302,6,2,3,3,47,4,1,,,,,2,,,150,,,,,,,,
1,2402,6,2,3,2,33,7,1,1,3,12,,,,,,1997,1998,2,,,2004,2003,2004
2,2402,6,2,3,2,34,7,1,,,,,,,,,,,,,,,,
3,2402,6,2,3,2,36,7,1,,,,,,,,,,,,,,,,
4,2402,6,2,3,2,38,7,1,,,,,,,,,,,,,,,,
5,2402,6,2,3,2,40,7,1,,,,,,,,,,,,,,,,
6,2402,6,2,3,2,42,7,1,,,,,,,,,,,,,,,,
7,2402,6,2,3,2,44,7,1,,,,2,1,3,1,250,,,,,,,,
1,2502,6,4,3,2,38,5,1,2,,,1,1,1,1,160,1988,,1,1992,,,2003,2005
1,2602,11,3,4,6,25,4,1,3,,,1,1,1,4,140,2000,2002,2,,,,2000,2004
2,2602,11,3,4,6,26,4,1,,,,,,,,,,,,,,,,
3,2602,11,3,4,6,28,4,1,,,,,,,,,,,,,,,,
4,2602,11,3,4,6,30,4,1,,,,,,,,,,,,,,,,
5,2602,11,3,4,6,32,4,1,,,,,,,,,,,,,,,,
6,2602,11,3,4,6,34,4,1,,,,,,,,,,,,,,,,
7,2602,11,3,4,6,36,4,1,,,,,,,,,,,,,,,,
1,2702,9,3,4,4,48,5,1,1,,,,,,,,1978,1980,2,,1980,1980,1978,1980
2,2702,9,3,4,4,49,5,1,,,,,,,,,,,,,,,,
3,2702,9,3,4,4,51,5,1,,,,2,1,1,4,100,,,,,,,,
4,2702,9,3,4,4,53,5,1,,,,,2,,,200,,,,,,,,
5,2702,9,3,4,4,55,5,1,,,,,5,,,150,,,,,,,,
6,2702,9,3,4,4,57,5,1,,,,,5,,,60,,,,,,,,
7,2702,9,3,4,4,59,5,1,,,,,5,,,120,,,,,,,,
1,2802,4,4,3,2,63,5,1,1,,,,,,,,,,,,,,,
1,2803,8,4,4,3,33,6,2,3,3,1,1,1,4,3,120,2001,2002,2,,,,2000,2005
1,2902,6,2,5,3,37,6,1,1,12,1,,,,,,1990,1993,2,2001,,2001,1990,2001
2,2902,6,2,5,3,38,6,1,,,,,,,,,,,,,,,,
3,2902,6,2,5,3,40,6,1,,,,,,,,,,,,,,,,
4,2902,6,2,5,3,42,6,1,,,,,4,,,,,,,,,,,
5,2902,6,2,5,3,44,6,1,,,,,4,,,,,,,,,,,
6,2902,6,2,5,3,46,6,1,,,,1,1,1,1,150,,,,,,,,
7,2902,6,2,5,3,48,6,1,,,,1,1,1,1,150,,,,,,,,
1,3001,11,4,4,4,35,6,1,3,5,1,,,,,,1990,2002,2,,,2002,1990,2002
2,3001,11,4,4,4,36,6,1,,,,,,,,,,,,,,,,
3,3001,11,4,4,4,38,6,1,,,,2,1,1,1,150,,,,,,,,
4,3001,11,4,4,4,40,6,1,,,,2,1,6,4,100,,,,,,,,
5,3001,11,4,4,4,42,6,1,,,,2,1,6,4,100,,,,,,,,
7,3001,11,4,4,4,46,6,1,,,,2,1,6,4,130,,,,,,,,
4,3005,2,6,3,4,19,5,2,1,,,2,1,2,2,32,2011,,1,,,,,
5,3005,2,6,3,4,21,5,2,,,,2,1,1,2,150,,,,,,,,
7,3005,2,6,3,4,25,5,2,,,,2,1,1,1,150,,,,,,,,
5,3006,8,4,3,3,19,4,2,3,,,2,1,1,3,100,2014,,1,,,,,
7,3006,8,4,3,3,23,4,2,,,,,,,,,,,,,,,,
1,3102,6,-9,4,4,46,3,1,,,,,3,,,0,1975,1976,2,,,,1976,1989
1,3202,6,1,4,2,49,4,1,3,,,,,,,,,,,,,,,
2,3202,6,1,4,2,50,4,1,,,,,,,,,,,,,,,,
3,3202,6,1,4,2,52,4,1,,,,,,,,,,,,,,,,
4,3202,6,1,4,2,54,4,1,,,,,,,,,,,,,,,,
