age,JOBSAL,working_y,marry_no,univ_in_seoul,fulltime_job,univ_grad
31.0,120.0,12,0,0,1,0
26.0,120.0,5,1,0,1,1
28.0,100.0,7,1,0,0,1
27.0,130.0,6,1,0,1,1
22.0,60.0,3,1,0,1,0
30.0,180.0,8,1,0,1,1
30.0,30.0,9,0,0,0,1
21.0,140.0,1,1,0,1,1
34.0,200.0,5,1,0,1,0
29.0,200.0,2,1,0,0,1
56.0,130.0,12,0,0,1,0
31.0,320.0,8,1,1,0,1
31.0,200.0,8,1,1,1,1
26.0,250.0,3,1,1,1,1
25.0,100.0,5,1,0,1,0
29.0,180.0,2,1,1,1,1
28.0,200.0,9,1,1,1,1
23.0,230.0,3,1,1,1,1
55.0,200.0,6,0,0,1,0
31.0,250.0,8,0,1,1,1
28.0,250.0,6,0,1,1,1
35.0,250.0,7,0,1,1,1
29.0,250.0,3,1,1,1,1
30.0,170.0,8,1,0,1,1
29.0,150.0,7,0,1,1,1
34.0,200.0,4,0,0,0,1
25.0,150.0,6,1,0,1,0
21.0,170.0,2,1,0,1,0
46.0,150.0,3,0,0,0,0
23.0,200.0,4,1,0,1,0
24.0,150.0,4,1,0,1,0
27.0,185.0,3,1,1,1,1
30.0,180.0,6,1,1,1,1
29.0,200.0,4,1,1,1,1
29.0,180.0,3,1,0,1,1
26.0,300.0,1,1,0,1,1
50.0,150.0,3,0,0,1,0
37.0,100.0,14,0,0,1,1
47.0,90.0,2,0,0,0,0
33.0,180.0,9,0,1,1,1
26.0,170.0,6,1,0,1,0
22.0,250.0,4,1,0,0,1
25.0,170.0,2,1,0,1,1
34.0,150.0,4,1,1,1,1
23.0,150.0,1,1,1,1,1
32.0,150.0,12,1,0,0,0
33.0,200.0,12,0,1,1,1
40.0,250.0,14,1,0,1,0
29.0,250.0,5,0,1,1,1
31.0,250.0,8,0,1,1,1
25.0,300.0,1,1,1,1,1
29.0,250.0,4,0,1,1,1
26.0,230.0,3,1,1,1,1
25.0,190.0,2,1,1,1,1
33.0,200.0,10,1,0,0,1
25.0,200.0,4,1,0,1,1
28.0,22.0,8,1,1,0,1
33.0,320.0,9,0,0,1,1
29.0,300.0,6,1,0,1,1
28.0,200.0,1,1,1,1,1
27.0,250.0,4,0,0,1,1
29.0,180.0,8,1,0,1,1
29.0,230.0,7,1,0,1,1
27.0,170.0,3,1,0,1,1
41.0,120.0,4,0,0,0,1
36.0,250.0,13,0,0,1,1
31.0,150.0,2,1,0,1,0
28.0,300.0,2,1,0,1,1
60.0,150.0,14,0,0,0,0
40.0,300.0,13,1,0,1,1
29.0,200.0,8,1,0,1,1
28.0,300.0,4,1,0,1,1
28.0,300.0,12,1,0,1,1
60.0,170.0,13,0,0,1,0
24.0,160.0,4,1,0,1,0
26.0,180.0,1,1,0,1,1
31.0,200.0,8,0,0,1,0
33.0,250.0,14,0,0,1,0
28.0,300.0,9,1,0,1,1
45.0,150.0,5,0,0,0,0
27.0,200.0,5,1,0,1,1
30.0,200.0,5,0,0,1,1
32.0,200.0,11,1,0,1,1
25.0,160.0,2,1,0,0,1
23.0,250.0,2,1,0,1,1
53.0,170.0,7,0,0,1,1
22.0,150.0,1,1,0,1,1
35.0,150.0,12,1,0,0,1
51.0,200.0,10,0,0,0,1
25.0,260.0,3,1,0,1,1
35.0,250.0,13,0,0,1,1
37.0,200.0,13,1,0,1,1
27.0,200.0,4,1,0,1,1
31.0,210.0,11,0,0,1,0
20.0,150.0,1,1,0,1,0
31.0,330.0,6,0,0,1,1
27.0,180.0,2,1,0,1,1
40.0,200.0,1,0,0,0,1
28.0,235.0,4,1,0,1,1
57.0,50.0,4,0,0,0,0
57.0,50.0,7,0,0,0,0
43.0,130.0,3,0,0,0,1
28.0,180.0,2,1,0,1,1
45.0,150.0,2,0,0,0,0
36.0,300.0,12,1,1,1,1
34.0,250.0,11,0,1,1,1
28.0,180.0,3,1,0,1,1
